utr,credited_amount,value_date,narration
UTR2355268102,487.22,2026-08-09,NEFT CR RAZORPAY SETTLEMENT setl_c13b49786b5b44
UTR1572989855,4881.02,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_8c80d065b513a1
UTR2232285036,337.52,2026-08-12,NEFT CR RAZORPAY SETTLEMENT setl_1e8a5b83a6b296
UTR2515672889,2440.02,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_6fedeb32f7e716
UTR3953315788,675.72,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_34c20f9c7e9b66
UTR4022663059,2440.02,2026-08-10,NEFT CR RAZORPAY SETTLEMENT setl_d3cb87d5f0ef1f
UTR7581095906,4881.02,2026-08-14,NEFT CR RAZORPAY SETTLEMENT setl_1d1c3bbd969cdc
UTR6480214504,975.42,2026-08-16,NEFT CR RAZORPAY SETTLEMENT setl_d06cb8f38a2442
UTR4018696945,9763.02,2026-08-03,NEFT CR RAZORPAY SETTLEMENT setl_1f73b4d1fa0667
UTR1515328854,1013.92,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_851a9843f03fcc
UTR2408434291,2440.02,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_7312742bc9c2de
UTR5151086814,2440.02,2026-08-06,NEFT CR RAZORPAY SETTLEMENT setl_63ce5842eff4dc
UTR6360837474,675.72,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_5aa58dfbe32c26
UTR7268807553,9763.02,2026-08-11,NEFT CR RAZORPAY SETTLEMENT setl_05636a2296a793
UTR8556573246,1463.62,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_7b6a27f5baddd6
UTR8478529823,1463.62,2026-08-09,NEFT CR RAZORPAY SETTLEMENT setl_9b3a47ed1640ca
UTR4530959836,2440.02,2026-08-06,NEFT CR RAZORPAY SETTLEMENT setl_4f8b2d7d97720f
UTR5903457537,2440.02,2026-08-05,NEFT CR RAZORPAY SETTLEMENT setl_04889976c98501
UTR3605585995,975.42,2026-08-13,NEFT CR RAZORPAY SETTLEMENT setl_6a7a4f7ca41077
UTR8760642358,487.22,2026-08-20,NEFT CR RAZORPAY SETTLEMENT setl_8925813918c787
UTR9094423237,975.42,2026-08-17,NEFT CR RAZORPAY SETTLEMENT setl_d075eb811278d1
UTR3691864041,4881.02,2026-08-18,NEFT CR RAZORPAY SETTLEMENT setl_fe9b8d8eb743ac
UTR2296502486,975.42,2026-08-23,NEFT CR RAZORPAY SETTLEMENT setl_75a01c71d70f3b
