match_key,expected,group
settlement:setl_a839c0cb52f511,ON_HOLD_BY_RAZORPAY,
settlement:setl_a5534ea92b26fa,MATCHED,
settlement:setl_8b695f27cd22a9,MATCHED,
settlement:setl_a92c8c8050eed4,TAX_DEDUCTION,
settlement:setl_781359331a3ed1,MATCHED,
settlement:setl_bc138227d1cd1a,MATCHED,
settlement:setl_24f98b098d2f12,MATCHED,
settlement:setl_e0991882513478,MATCHED,
settlement:setl_d1640ca4b8601e,MATCHED,
settlement:setl_fce0b5ecdc4c1d,ROUNDING,
settlement:setl_9f095c6f1e3068,,dup_10
settlement:setl_9f095c6f1e3068_dup,,dup_10
settlement:setl_96d43c957a8cfb,PARTIAL_PAYMENT,
settlement:setl_a0cc162f803d7c,MATCHED,
settlement:setl_1445823bb16863,MATCHED,
settlement:setl_acbdef8e9a16d2,PARTIAL_PAYMENT,
settlement:setl_3022a93bc29b1d,,dup_15
settlement:setl_3022a93bc29b1d_dup,,dup_15
settlement:setl_a1a06765e7228a,PARTIAL_PAYMENT,
settlement:setl_5eb40f1b7cba7c,MATCHED,
settlement:setl_3b49c9fd454b20,MATCHED,
settlement:setl_94f1c9c3877df4,MATCHED,
settlement:setl_caae68aed124b9,MATCHED,
settlement:setl_d9c2874f6df765,MATCHED,
settlement:setl_9770424e70acb4,,dup_22
settlement:setl_9770424e70acb4_dup,,dup_22
settlement:setl_ed4c6e8d449f72,MATCHED,
settlement:setl_2f2f51d1e02df1,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_0505636a2296a7,MATCHED,
settlement:setl_7399f4fa49ab09,MATCHED,
settlement:setl_228f8ed4d7cb51,MATCHED,
settlement:setl_1de462f471e27a,MATCHED,
settlement:setl_af05fc3d89d3cc,ROUNDING,
settlement:setl_18f0cd87f076a7,MATCHED,
settlement:setl_37357616a52e1d,MATCHED,
settlement:setl_7d5814368c9a89,MATCHED,
settlement:setl_c91029a4a774c1,DISPUTED,
settlement:setl_f7b561661db3c1,ROUNDING,
settlement:setl_a9da2174408470,MATCHED,
settlement:setl_823778254659ca,MATCHED,
settlement:setl_a52bffe1a804f5,PARTIAL_PAYMENT,
settlement:setl_05bf9cc33fce3a,ROUNDING,
settlement:setl_edee66561351b5,MATCHED_EXACT_REFERENCE,
settlement:setl_a91d78a9b40592,PARTIAL_PAYMENT,
settlement:setl_255adaf722bf03,MATCHED,
settlement:setl_8cb19d851a496b,MATCHED,
settlement:setl_3a5f0275712554,,dup_43
settlement:setl_3a5f0275712554_dup,,dup_43
settlement:setl_ffab8442bb253f,MATCHED,
settlement:setl_782d89c28dd842,MATCHED,
settlement:setl_d1fc43990e8a43,MATCHED,
settlement:setl_720fd6fedeb32f,UTR_LEVEL_MISMATCH,
settlement:setl_5693818c4fa1f6,MATCHED,
settlement:setl_98879705164eda,MATCHED,
settlement:setl_db0235a852e55c,MATCHED,
settlement:setl_65c20f1eab3d48,MATCHED,
settlement:setl_f5ae198bee2e2e,MATCHED,
settlement:setl_bc9c2ded81a225,MATCHED,
settlement:setl_af53f77f5beccd,MATCHED,
settlement:setl_02698a4040316b,MATCHED,
settlement:setl_1f62fdcf7b6637,MATCHED,
settlement:setl_084db59a542a34,MATCHED,
settlement:setl_706686451758d0,TAX_DEDUCTION,
settlement:setl_3e8c6854871f7d,MATCHED,
settlement:setl_fa72c2b7e8a00d,MATCHED,
order_only:order_1061,AFA_MANDATE_HOLD,
settlement:setl_c9d1803de701ee,MATCHED,
settlement:setl_8f06d5cf6c04f7,MATCHED,
settlement:setl_c116881189cd06,MATCHED,
settlement:setl_206d6d76da949b,MATCHED,
settlement:setl_74bdc67a3abc1f,ON_HOLD_BY_RAZORPAY,
settlement:setl_c113b8b357ab2f,UTR_LEVEL_MISMATCH,
settlement:setl_2f3228f362a609,MATCHED,
settlement:setl_61572ace9a5315,MATCHED,
settlement:setl_df87a6d710c448,PARTIAL_PAYMENT,
settlement:setl_d7fc3c95ba2233,MATCHED,
settlement:setl_53d62aa61cc6bb,MATCHED_EXACT_REFERENCE,
settlement:setl_2dcec0ad0e27f6,MATCHED,
settlement:setl_3a0bdf6216b15e,MATCHED,
settlement:setl_c3a39b4f0de393,UTR_LEVEL_MISMATCH,
settlement:setl_c01400c8a86b18,,dup_76
settlement:setl_c01400c8a86b18_dup,,dup_76
settlement:setl_90aa2020758d45,MATCHED,
settlement:setl_80d3762ed8eb65,MATCHED,
settlement:setl_b35ffcb8c2e08a,MATCHED,
settlement:setl_7b98a690a24de6,UTR_LEVEL_MISMATCH,
settlement:setl_3d2bf604d2fd88,MATCHED_EXACT_REFERENCE,
settlement:setl_ed50729d60a232,MATCHED,
settlement:setl_b7c5954090c4c7,MATCHED,
settlement:setl_be0bf993fe7471,MATCHED,
settlement:setl_ba955fb6a75b8e,MATCHED,
settlement:setl_5155afdab503b5,ON_HOLD_BY_RAZORPAY,
settlement:setl_f126b8e19970f2,MATCHED,
settlement:setl_930241d467a182,MATCHED,
settlement:setl_8d7e71eb8eca91,DISPUTED,
settlement:setl_566790429b0e53,MATCHED,
settlement:setl_7e67850c1b6c89,,dup_91
settlement:setl_7e67850c1b6c89_dup,,dup_91
settlement:setl_ebb4629fdaa460,ROUNDING,
settlement:setl_d894a75454afa3,ROUNDING,
settlement:setl_8cea8dde2124cc,PARTIAL_PAYMENT,
settlement:setl_640d2369e75bc7,PARTIAL_PAYMENT,
settlement:setl_5d3aa3b52692d4,MATCHED,
settlement:setl_c6ac9901d01714,MATCHED,
settlement:setl_b4073e50aeda21,MATCHED,
settlement:setl_f4b55167db76e2,MATCHED,
settlement:setl_45bac99fa58b1a,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_d179175fb0608d,MATCHED,
settlement:setl_5df48b022bb193,PARTIAL_PAYMENT,
settlement:setl_eceb2d1a95e69b,MATCHED,
settlement:setl_af8b51579a6bd4,MATCHED,
settlement:setl_83a68cbb066caf,PARTIAL_PAYMENT,
settlement:setl_286682945b2250,MATCHED,
settlement:setl_c8fdf0a7e99fa5,ROUNDING,
settlement:setl_3ad3deb6d1a0b0,MATCHED,
settlement:setl_c41c76a7826c8f,MATCHED,
settlement:setl_41a90cf8a1a439,MATCHED,
settlement:setl_45a577c71a14de,MATCHED,
settlement:setl_b47868adc92872,MATCHED,
settlement:setl_b99669e14f36d5,MATCHED,
order_only:order_1114,AFA_MANDATE_HOLD,
settlement:setl_613d8621790c81,MATCHED,
settlement:setl_e63bc910ab552a,MATCHED,
settlement:setl_18cc9a06acd791,MATCHED,
settlement:setl_98320302fc5698,TAX_DEDUCTION,
settlement:setl_fed9bf9ccf7790,MATCHED,
settlement:setl_392be3b3343dd5,MATCHED,
settlement:setl_c286f05dc71850,MATCHED,
settlement:setl_3143662f2c27fd,MATCHED,
settlement:setl_65a99a8f458c71,ROUNDING,
settlement:setl_b872d234bb361e,PARTIAL_PAYMENT,
settlement:setl_57f847fb29aa98,MATCHED,
settlement:setl_c9c83e63bad31a,MATCHED,
settlement:setl_42701036c75b01,MATCHED,
settlement:setl_7a45a0e84a3ed3,TAX_DEDUCTION,
settlement:setl_a0abc23fccc73b,MATCHED,
settlement:setl_0a620dc3ba8687,MATCHED,
settlement:setl_03b0eaed7a5bed,MATCHED,
settlement:setl_ab61c88a89ee8f,MATCHED,
settlement:setl_35cfde8991724e,,dup_133
settlement:setl_35cfde8991724e_dup,,dup_133
settlement:setl_c5d6dd3a90c640,MATCHED,
settlement:setl_66bc73698f8346,MATCHED,
settlement:setl_b1b392d45c475b,MATCHED,
settlement:setl_4dad0da36f15d8,MATCHED,
settlement:setl_ff3562b8ada696,MATCHED,
settlement:setl_8b2d205ff4bdab,DISPUTED,
settlement:setl_9bde6c9db6f98a,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_4ebe7a1829e865,MATCHED,
settlement:setl_6ce9a2d2b64c7a,MATCHED,
settlement:setl_8d02a0dad4e062,MATCHED,
settlement:setl_baf7bef4958f52,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_ab4148c1569fd3,MATCHED,
settlement:setl_5ec12d5682921c,MATCHED,
settlement:setl_eb8c2ddfa2b7b8,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_421f81884fc924,,dup_148
settlement:setl_421f81884fc924_dup,,dup_148
settlement:setl_1ec91cb14ac7f2,,dup_149
settlement:setl_1ec91cb14ac7f2_dup,,dup_149
settlement:setl_181479332713b6,MATCHED,
settlement:setl_d5a0329ccca749,,dup_151
settlement:setl_d5a0329ccca749_dup,,dup_151
settlement:setl_bd5dd3b65668a7,MATCHED,
settlement:setl_e976d63607bb4e,MATCHED,
settlement:setl_1ac405c787b6fc,MATCHED,
settlement:setl_4d012927c4b7cd,MATCHED,
settlement:setl_4bc86b72d0e7af,MATCHED_EXACT_REFERENCE,
settlement:setl_ad011734301fad,MATCHED,
settlement:setl_c521c650f477e9,MATCHED,
settlement:setl_2560bc76bc136b,MATCHED,
settlement:setl_1b7e7300f36ca7,MATCHED,
settlement:setl_93a0aed19d1d19,DISPUTED,
settlement:setl_e6ccb3a86f9027,MATCHED,
settlement:setl_72a0a465cc0be2,MATCHED,
settlement:setl_e2e762baf32b02,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_bb359e9290f07c,MATCHED,
settlement:setl_99f72b2dab0a6b,UTR_LEVEL_MISMATCH,
settlement:setl_1b3f317f9f3b35,MATCHED,
settlement:setl_e162f121223f06,MATCHED,
settlement:setl_742c247fc0572e,MATCHED,
settlement:setl_24e672750bf5b7,,dup_170
settlement:setl_24e672750bf5b7_dup,,dup_170
settlement:setl_3e4087a18359fe,MATCHED,
settlement:setl_d924f85e960a42,MATCHED,
settlement:setl_42ea0c7f95764a,MATCHED,
settlement:setl_c8dda4ab19d085,MATCHED,
settlement:setl_5b27f8f24b12bb,PARTIAL_PAYMENT,
settlement:setl_1993a02b495dc9,MATCHED,
settlement:setl_256331f112cb80,PARTIAL_PAYMENT,
settlement:setl_68a16bfbe2533d,MATCHED,
settlement:setl_2101af6a2911cc,MATCHED,
settlement:setl_b72b71aaa97d86,PARTIAL_PAYMENT,
settlement:setl_3341bd1280a686,MATCHED,
settlement:setl_d840f63b1d151c,TAX_DEDUCTION,
settlement:setl_fb7e89c69a8522,MATCHED_EXACT_REFERENCE,
settlement:setl_6a0224ca2df70d,UTR_LEVEL_MISMATCH,
settlement:setl_19c5dbcbe31346,MATCHED,
settlement:setl_a46abea8370fee,MATCHED_AI_ASSISTED|FUZZY_MATCH_NEEDS_REVIEW|UNEXPLAINED,
settlement:setl_ddb859db700aac,MATCHED,
settlement:setl_541566d9008931,MATCHED,
settlement:setl_c472d9f4a66244,MATCHED,
settlement:setl_59acbc086fa2e0,MATCHED,
settlement:setl_e5fc2dac02304b,DISPUTED,
settlement:setl_1507b7a4a5097f,MATCHED,
settlement:setl_ca176c4a2ad87e,MATCHED,
settlement:setl_c4fa43698e8867,MATCHED,
settlement:setl_fd22b9d180127b,ON_HOLD_BY_RAZORPAY,
settlement:setl_6ac3477022bf7d,MATCHED,
settlement:setl_ed300984ae19a7,MATCHED,
settlement:setl_ccd94ba23916f4,MATCHED,
settlement:setl_edd910fcfcfc9d,MATCHED,
settlement:setl_0d7424b6a3c8c2,MATCHED_EXACT_REFERENCE,
settlement:setl_ae0aba846a84be,MATCHED,
settlement:setl_4188c20c93cbf1,MATCHED,
settlement:setl_cbab8359d51bd1,MATCHED,
settlement:setl_77f88b7028e1d1,MATCHED,
settlement:setl_d699ec7b9c8777,MATCHED,
settlement:setl_990937e1e20c3b,MATCHED_EXACT_REFERENCE,
settlement:setl_2950065656d13c,MATCHED,
settlement:setl_8c2823ff80df9a,MATCHED_EXACT_REFERENCE,
settlement:setl_69f5a54c73f579,MATCHED,
