date,closing_balance
2026-08-01,79888.62
2026-08-02,170858.32
2026-08-03,164709.9
2026-08-04,152509.8
2026-08-05,176351.14
2026-08-06,139326.92
2026-08-07,149124.66
2026-08-08,212161.18
2026-08-09,169388.3
2026-08-10,141306.78
2026-08-11,166845.12
2026-08-12,133088.7
2026-08-13,164548.6
2026-08-14,152423.42
2026-08-15,143853.4
2026-08-16,219210.98
2026-08-17,201834.56
2026-08-18,182314.1
2026-08-19,197518.34
2026-08-20,170297.0
2026-08-21,140743.98
2026-08-22,79249.92
2026-08-23,19164.2
2026-08-24,34164.2
