settlement_id,payment_id,order_id,gross,mdr,gst_on_mdr,net,utr,settlement_date,on_hold,method,dispute_id
setl_d7fc3c95ba2233,pay_d5d0b8f1dc4f75,order_1071,499,9.98,1.8,487.22,UTR3313993297,2026-08-21,False,Wallet,
setl_59735bfe2b7527,pay_01fbe45e924acf,order_1311,499,9.98,1.8,487.22,UTR4012767672,2026-08-12,False,Card,
setl_bbbb3bfde899fa,pay_7df68b78feb69e,order_1246,4999,99.98,18.0,4881.02,UTR1750821255,2026-08-10,False,Card,
setl_35ad962f609111_dup,pay_146e6146b81bfb,order_1243,4999,99.98,18.0,4881.02,UTR5578260598,2026-08-16,False,UPI,
setl_3406dc0ae69db2,pay_8c228d18f93cd5,order_1391,4999,99.98,18.0,4881.02,UTR9112094321,2026-08-19,False,Netbanking,
setl_706686451758d0,pay_05a68b642833d2,order_1058,2499,49.98,10.0,2439.02,UTR3589530484,2026-08-22,False,UPI,
setl_421f81884fc924_dup,pay_5e1cb0ca3348ca,order_1148,1499,29.98,5.4,1463.62,UTR2905452099,2026-08-20,False,UPI,
setl_9f095c6f1e3068_dup,pay_3a641c58ad50e4,order_1010,4999,99.98,18.0,4881.02,UTR6859286614,2026-08-09,False,Netbanking,
setl_8d967dd283f0a5,pay_78f2e7619ba797,order_1448,4999,99.98,18.0,4881.02,UTR6314943127,2026-08-03,False,Card,
setl_a8dd25d2ee54e3,pay_29f9bf539715be,order_1328,2499,49.98,9.0,2440.02,UTR7885901965,2026-08-17,True,Card,
setl_f32869e64c5c65,pay_03b3e7c24fd778,order_1353,999,19.98,3.6,975.42,UTR7615834955,2026-08-13,False,Wallet,
setl_fa72b0eb142650,pay_38e6e0c4755e84,order_1248,9999,199.98,36.0,9763.02,UTR9368210526,2026-08-09,False,Wallet,
setl_a0abc23fccc73b,pay_1c00c7951219ef,order_1129,1499,29.98,5.4,1463.62,UTR5464569299,2026-08-07,False,UPI,
setl_6ac3477022bf7d,pay_5ab642010fd3aa,order_1196,4999,99.98,18.0,4881.02,UTR6159709229,2026-08-10,False,Card,
setl_8c2823ff80df9a,pay_10ae0891ca297d,order_1208,999,19.98,3.6,975.42,UTR9254114170,2026-08-03,False,Card,
setl_2101af6a2911cc,pay_4ca679674c147a,order_1179,2499,49.98,9.0,2440.02,UTR7433427406,2026-08-09,False,UPI,
setl_c77142a183f916,pay_644b86fbfcb790,order_1309,2499,49.98,9.0,2440.02,UTR1998278217,2026-08-19,False,UPI,
setl_a0c7ab809390b9,pay_3a80d30332d85c,order_1379,1499,29.98,5.4,1463.62,UTR6000111501,2026-08-19,False,UPI,
setl_f5c7eac6fc84a4,pay_1b98a8cad3c81d,order_1269,2499,49.98,9.0,2440.02,UTR9199346195,2026-08-10,False,UPI,
setl_a0cc162f803d7c,pay_a33037d16a3b73,order_1012,9999,199.98,36.0,9763.02,UTR7852415525,2026-08-19,False,Netbanking,
setl_a485a8a1c20e87,pay_b7a9acf464a574,order_1334,999,19.98,3.6,975.42,UTR8561022829,2026-08-05,False,UPI,
setl_00f7dac9d1ae9b,pay_957adcfa132f7c,order_1358,4999,99.98,18.0,4881.02,UTR3762516548,2026-08-15,False,UPI,
setl_27dd722103e787,pay_abe3c4f944cc9b,order_1458,499,9.98,1.8,487.22,UTR2403925038,2026-08-09,False,Wallet,
setl_928737fa549998,pay_dd43976d7a51fb,order_1374,1499,29.98,5.4,1463.62,UTR4711270669,2026-08-14,False,Card,
setl_72d759ecd34c71,pay_bbe8e9f957d9a3,order_1425,4999,99.98,18.0,4881.02,UTR1231035712,2026-08-06,False,Card,
setl_ed4c6e8d449f72,pay_71d7b84df386e8,order_1023,4999,99.98,18.0,4881.02,UTR6777263354,2026-08-18,False,Card,
setl_65a99a8f458c71,pay_d01234d1b458c5,order_1123,4999,99.98,18.5,4880.52,UTR5108541819,2026-08-12,False,UPI,
setl_d1640ca4b8601e,pay_af211849b3a47e,order_1008,999,19.98,3.6,975.42,UTR3373077218,2026-08-20,False,UPI,
setl_af05fc3d89d3cc,pay_735f5ea04ffd13,order_1029,4999,99.98,17.5,4881.52,UTR5226368665,2026-08-03,False,UPI,
setl_ccd94ba23916f4,pay_33e59da24bfdab,order_1198,999,19.98,3.6,975.42,UTR5372837607,2026-08-20,False,UPI,
setl_ebb4629fdaa460,pay_b4d8a10592d952,order_1092,9999,199.98,36.5,9762.52,UTR4439688162,2026-08-03,False,UPI,
setl_3143662f2c27fd,pay_8379573b5d4229,order_1122,4999,99.98,18.0,4881.02,UTR8389750357,2026-08-20,False,UPI,
setl_12c4d2a29010ad,pay_42777f7d30f495,order_1297,4999,99.98,18.0,4881.02,UTR9770132477,2026-08-13,False,UPI,
setl_1ac405c787b6fc,pay_7b2bffc71e17bf,order_1154,1499,29.98,5.4,1463.62,UTR9741659629,2026-08-08,False,Card,
setl_18fc37ad8a0af5,pay_53569fdc0d6de0,order_1234,9999,199.98,36.0,9763.02,UTR4751372582,2026-08-14,False,Card,
setl_e453f9cc4cc825,pay_d9deab18d3610b,order_1486,2499,49.98,9.0,1690.32,UTR1419438537,2026-08-21,False,UPI,
